filmid,filmname,filmreleasedate,filmdirectorid,filmlanguageid,filmcountryid,filmstudioid,filmsynopsis,filmruntimeminutes,filmcertificateid,filmbudgetdollars,filmboxofficedollars,filmoscarnominations,filmoscarwins
219,28 Days Later…,2002-11-01,108,1,240,32.0,"Four weeks after a mysterious, incurable virus spreads throughout the UK, a handful of survivors try to find sanctuary.",113,7,15000000.0,82719885.0,0,0
128,300,2007-03-23,76,1,241,6.0,King Leonidas and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,117,5,60000000.0,456068181.0,0,0
90,A Beautiful Mind,2002-02-22,40,1,241,1.0,"After a brilliant but asocial mathematician accepts secret work in cryptography, his life takes a turn to the nightmarish.",135,3,78000000.0,316708996.0,8,4
166,A History of Violence,2005-09-30,91,1,241,14.0,"A mild-mannered man becomes a local hero through an act of violence, which sets off repercussions that will shake his family to its very core.",96,7,32000000.0,59993782.0,2,0
58,Ali,2002-02-22,34,1,241,5.0,"A biography of sports legend, Muhammad Ali, from his early days to his days in the ring",157,5,109000000.0,85300000.0,0,0
234,Alien,1979-09-06,51,1,241,4.0,"A mining ship, investigating a suspected SOS, lands on a distant planet. The crew discovers some strange creatures and investigates.",117,7,9000000.0,203630630.0,2,1
136,Alien 3,1992-08-21,70,1,241,4.0,"Ripley continues to be stalked by a savage alien, after her escape pod crashes on a prison planet.",114,6,55000000.0,158500000.0,1,0
204,Aliens,1986-08-29,15,1,241,4.0,"The planet from Alien (1979) has been colonized, but contact is lost. This time, the rescue team has impressive firepower, enough?",137,7,17000000.0,183316455.0,7,2
231,Amelie,2001-10-05,111,3,79,16.0,"Amelie, an innocent and naive girl in Paris, with her own sense of justice, decides to help those around her and along the way, discovers love.",122,7,10350000.0,152637129.0,5,0
210,American Beauty,2000-02-04,61,1,241,8.0,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation for his daughter's attractive friend.",122,7,15000000.0,356258047.0,8,5
66,American Gangster,2007-11-16,51,1,241,1.0,"In 1970s America, a detective works to bring down the drug empire of Frank Lucas, a heroin kingpin from Manhattan, who is smuggling the drug into the country from the Far East.",157,6,100000000.0,264132214.0,2,0
189,Anchorman: The Legend of Ron Burgundy,2004-09-10,63,1,241,8.0,"Ron Burgundy is San Diego's top rated newsman in the male dominated broadcasting of the 1970's, but that's all about to change when a new female employee with ambition to burn arrives in his office.",94,7,25000000.0,89366354.0,0,0
152,Apocalypto,2007-01-05,65,8,241,7.0,"As the Mayan kingdom faces its decline, the rulers insist the key to prosperity is to build more temples and offer human sacrifices. Jaguar Paw, a young man captured for sacrifice, flees to avoid his fate.",139,6,40000000.0,117784857.0,3,0
113,Apollo 13,1995-09-22,40,1,241,1.0,True story of the moon-bound mission that developed severe trouble and the men that rescued it with skill and dedication.,140,2,65000000.0,334100000.0,9,2
24,Armageddon,1998-08-07,18,1,241,7.0,When an asteroid the size of Texas is headed for Earth the world's best deep core drilling team is sent to nuke the rock from the inside.,150,3,140000000.0,554600000.0,4,0
54,Around the World in 80 Days,2004-07-09,50,1,241,3.0,"A bet pits a British inventor, a Chinese thief, and a French artist on a worldwide adventure that they can circle the globe in 80 days.",120,2,110000000.0,72004159.0,0,0
246,Around the World in 80 Days,1956-10-17,117,1,241,22.0,Adaptation of Jules Verne's novel about a Victorian Englishman who bets that with the new steamships and railways he can do what the title says.,167,7,,,8,5
199,Back to the Future,1985-12-04,20,1,241,1.0,"In 1985, Doc Brown invented time travel, in 1955, Marty McFly accidentally prevented his parents from meeting, putting his own existence at stake.",117,7,19000000.0,381109762.0,4,1
155,Back to the Future Part II,1989-11-24,20,1,241,1.0,"After visiting 2015, Marty must repeat his visit to 1955 to prevent disastrous changes to 1985... without interfering with his first trip.",108,2,40000000.0,332000000.0,1,0
154,Back to the Future Part III,1990-07-11,20,1,241,1.0,"Doctor Emmet Brown was living in peace in 1885 until he was killed by Buford ""Mad Dog"" Tannen. Marty McFly travels back in time to save his friend.",118,2,40000000.0,243700000.0,0,0
19,Batman Begins,2005-06-16,27,1,241,6.0,The story of how Bruce Wayne became what he was destined to be: Batman.,140,4,150000000.0,371824647.0,1,0
13,Bee Movie,2007-12-14,21,1,241,8.0,"Barry B. Benson, a bee who has just graduated from college, is disillusioned at his lone career choice: making honey. On a special trip outside the hive, Barry's life is saved by Vanessa, a florist in New York City. As their relationship blossoms, he discovers humans actually eat honey, and subsequently decides to sue us.",90,1,150000000.0,286758211.0,0,0
12,Beowulf,2007-11-16,20,1,241,2.0,"The warrior Beowulf must fight and defeat the monster Grendel who is terrorizing towns, and later, Grendel's mother, who begins killing out of revenge.",113,4,150000000.0,194995215.0,0,0
71,Black Hawk Down,2002-01-18,51,1,241,17.0,123 elite U.S. soldiers drop into Somalia to capture two top lieutenants of a renegade warlord and find themselves in a desperate battle with a large force of heavily-armed Somalis.,144,5,95000000.0,173638745.0,4,2
147,Blade,1998-11-13,82,1,241,14.0,"A half-vampire, half-mortal man becomes a protector of the mortal race, while slaying evil vampires.",120,6,45000000.0,131237688.0,0,0
139,Blade II,2002-03-29,71,1,241,14.0,Blade forms an uneasy alliance with the vampire council in order to combat the Reaper vampires who feed on vampires.,117,6,54000000.0,154306865.0,0,0
176,Blade Runner,1982-09-09,51,1,241,6.0,"Deckard, a blade runner, has to track down and terminate 4 replicants who hijacked a ship in space and have returned to earth seeking their maker.",117,7,28000000.0,33139618.0,2,0
67,Blood Diamond,2007-01-26,43,1,241,6.0,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.",143,5,100000000.0,171377916.0,5,0
202,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006-11-02,104,1,241,28.0,"Kazakh TV talking head Borat is dispatched to the United States to report on the greatest country in the world. With a documentary crew in tow, Borat becomes more interested in locating and marrying Pamela Anderson.",84,7,18000000.0,261509089.0,1,0
101,Braveheart,1995-09-08,65,1,241,2.0,"William Wallace, a commoner, unites the 13th Century Scots in their battle to overthrow English rule.",177,5,72000000.0,209000000.0,10,5
214,Brokeback Mountain,2006-01-13,8,1,241,2.0,Based on the 'E. Annie Proulx' story about a forbidden and secretive relationship between two cowboys and their lives over the years.,134,7,13900000.0,180343761.0,8,3
86,Bruce Almighty,2003-06-27,16,1,241,1.0,A guy who complains about God too often is given almighty powers to teach him how difficult it is to run the world.,101,4,81000000.0,485004995.0,0,0
141,Casino,1996-02-23,9,1,241,1.0,"Greed, deception, money, power, and murder occur between two mobster best friends and a trophy wife over a gambling empire.",178,6,52000000.0,110400000.0,1,0
61,Casino Royale,2006-11-16,54,1,240,11.0,"In his first mission, James Bond must stop Le Chiffre, a banker to the world's terrorist organizations, from winning a high-stakes poker tournament at Casino Royale in Montenegro.",144,4,102000000.0,594165000.0,0,0
228,Casino Royale,1967-04-28,110,1,240,5.0,"In an early spy spoof, aging Sir James Bond (David Niven) comes out of retirement to take on SMERSH.",131,7,12000000.0,41744718.0,1,0
83,Cast Away,2001-01-12,20,1,241,8.0,A FedEx executive must transform himself physically and emotionally to survive a crash landing on a deserted island.,143,3,85000000.0,427230516.0,2,0
64,Catwoman,2004-08-13,55,1,241,6.0,"A shy woman, endowed with the speed, reflexes, and senses of a cat, walks a thin line between criminal and hero, even as a detective doggedly pursues her, fascinated by both of her personas.",104,4,100000000.0,73887903.0,0,0
20,Charlie and the Chocolate Factory,2005-07-29,28,1,241,6.0,"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.",115,2,150000000.0,473459076.0,1,0
91,Children of Men,2006-09-22,38,1,241,1.0,"In 2027, in a chaotic world in which humans can no longer procreate, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea, where her child's birth may help scientists save the future of humankind.",109,5,76000000.0,69450202.0,3,0
80,Cinderella Man,2005-09-09,40,1,241,1.0,"The story of James Braddock, a supposedly washed up boxer who came back to become a champion and an inspiration in the 1930s.",144,4,88000000.0,108539911.0,3,0
119,Clear and Present Danger,1994-08-03,73,1,241,2.0,CIA Analyst Jack Ryan is drawn into an illegal war fought by the US government against a Colombian drug cartel.,141,3,62000000.0,207500000.0,2,0
85,Click,2006-09-29,50,1,241,5.0,A workaholic architect finds a universal remote that allows him to fast-forward and rewind to different parts of his life. Complications arise when the remote starts to overrule his choices.,107,4,82500000.0,237555633.0,1,0
118,Cliffhanger,1993-06-25,69,1,241,15.0,A botched mid-air heist results in suitcases full of cash being searched for by various groups throughout the Rocky Mountains.,113,5,65000000.0,255000000.0,0,0
209,Collateral,2004-09-17,34,1,241,2.0,A cab driver finds himself the hostage of an engaging contract killer as he makes his rounds from hit to hit during one night in LA. He must find a way to save both himself and one last victim.,120,7,60000000.0,217670152.0,2,0
97,Constantine,2005-03-18,23,1,241,6.0,"Based on the DC/Vertigo comic book Hellblazer and written by Kevin Brodbin, Mark Bomback and Frank Capello, Constantine tells the story of irreverent supernatural detective John Constantine (Keanu Reeves), who has literally been to hell and back.",121,5,75000000.0,229976178.0,0,0
131,Crimson Tide,1995-11-03,78,1,241,17.0,"On a US nuclear missile sub, a young first officer stages a mutiny to prevent his trigger happy captain from launching his missiles before confirming his orders to do so.",116,5,55000000.0,159387195.0,3,0
213,"Crouching Tiger, Hidden Dragon",2001-01-05,8,5,48,5.0,"Two warriors in pursuit of a stolen sword and a notorious fugitive are led to an impetuous, physically-skilled, teenage nobleman's daughter, who is at a crossroads in her life.",120,7,15000000.0,213200000.0,10,4
200,Dances With Wolves,1991-02-08,98,1,241,27.0,"Lt. John Dunbar, exiled to a remote western Civil War outpost, befriends wolves and Indians, making him an intolerable aberration in the military.",180,7,19000000.0,424200000.0,12,7
227,Das Boot,1982-02-10,25,4,257,,"The claustrophobic world of a WWII German U-boat; boredom, filth, and sheer terror.",149,7,12000000.0,84970337.0,6,0
88,Deep Impact,1998-05-15,60,1,241,2.0,"Unless a comet can be destroyed before colliding with Earth, only those allowed into shelters will survive. Which people will survive?",120,3,80000000.0,349464664.0,0,0
